business_name,phone_number,star_rating,total_reviews,address,neighborhood,website,service_type,is_24h,last_updated,status,Identifies as women-owned,LGBTQ+ friendly
Cold Vale ar condicionado,12981742853,"5,0",42,"Av. da Liberdade, 298 - Jardim Alvorada, São José dos Campos - SP, 12240-550",Jardim Alvorada,http://www.coldvale.com.br/,Ar condicionado,N,2025-10-03,Active,Y,N/A
"Vale Clima - Vendas de Ar Condicionado & Ventilação Diretas da Fábrica - Rep. Comercial Trane, Unitcold, Otam S&P e Airside",1230284972,"4,9",75,"Av. Cassiano Ricardo, 601 - Sala 61 - Jardim Aquarius, São José dos Campos - SP, 12246-870",Aquarius,https://www.valeclima.com.br/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=7747769522322234079,Ar condicionado,N,2025-10-03,Active,N/A,N/A
Intervalle Ar Condicionado,12997316957,"4,8",133,"R. Estonia, 552 - Jardim Aeroporto, São José dos Campos - SP, 12231-160",Jardim Aeroporto,http://www.intervalle.com.br/,Ar condicionado,N,2025-10-03,Active,Y,Y
"Intra - Ar Condicionado, Aquecedor e Energia Solar Fotovoltaica",1239228214,"4,9",86,"R. Me. Paula de São José, 262 - Vila Ema, São José dos Campos - SP, 12243-010",Vila Ema,http://www.intravale.com.br/,Ar condicionado,N,2025-10-03,Active,N/A,N/A
ClimaWay Ar Condicionado,12988966369,"4,9",101,"R. Jacareí, 136 - Vila Nair, São José dos Campos - SP, 12231-050",Vila Nair,https://climaway.com.br/,Ar condicionado,N,2025-10-03,Active,N/A,N/A
Clima Rio - Refrigeração e Ar Condicionado - São José dos Campos,1232093180,"4,3",49,"R. Paraibuna, 667 - Jardim Sao Dimas, São José dos Campos - SP, 12245-020",Jardim São Dimas,https://sites.google.com/climariorefri.net/sao-jose-dos-campos/in%C3%ADcio,Ar condicionado,N,2025-10-03,Active,N/A,N/A
Frigelar,1221228999,"4,1",254,"R. Dinamarca, 225 - Vila Nair, São José dos Campos - SP, 12231-200",Vila Nair,http://www.frigelar.com.br/?utm_source=google&utm_medium=local&utm_campaign=fl44&utm_id=12209560184830538121,Ar condicionado,N,2025-10-03,Active,N/A,N/A
Rofran Ar Condicionado,1239335197,"4,7",146,"R. Luzia Menezes de Carvalho Cordeiro, 30 - Res. de Ville, São José dos Campos - SP, 12237-871",Res. de Ville,http://www.rofranarcondicionado.com.br/,Ar condicionado,N,2025-10-03,Active,N/A,N/A
Vega Climatização e Refrigeração,12996733433,"4,9",106,"R. Emílio Marelo, 100 - Jardim das Industrias, São José dos Campos - SP, 12241-200",Jardim das Indústrias,http://vegasjc.com.br/,Ar condicionado,N,2025-10-03,Active,Y,N/A
Microclima Ar Condicionado,1239411060,"4,4",59,"Rua: Noruega, 54 - Vila Nair, São José dos Campos - SP, 12231-140",Vila Nair,http://www.microclima.com.br/,Ar condicionado,N,2025-10-03,Active,N/A,N/A
CPK HVAC E AUTOMAÇÃO - Ar Condicionado SJC e Elétrica (Manutenção Ar condicionado SJC),1239393901,"5,0",20,"Rua Lucia de Almeida Barreto, 11 - Jardim das Azaleias, São José dos Campos - SP, 12235-671",Jardim das Azaleias,https://cpkhvac.com.br/,Ar condicionado,N,2025-10-03,Active,Y,Y
FrioShopping,1232045257,"4,6",185,"R. Paraibuna, 733 - Jardim Sao Dimas, São José dos Campos - SP, 12245-020",Jardim São Dimas,https://www.frioshopping.com/,Ar condicionado,N,2025-10-03,Active,N/A,N/A
"Hep Control Ar Condicionado | Instalação, Manutenção e Assistência Técnica",1239345140,"4,4",25,"Rua Riokichi Asanone, 49 - Jardim America, São José dos Campos - SP, 12235-130",Jardim América,http://hepcontrol.com.br/,Ar condicionado,N,2025-10-03,Active,N/A,N/A
ALMIRANTE REFRIGERAÇÃO,1239117399,"4,4",128,"Av. Dr. Nélson d'Ávila, 691 - Jardim Sao Dimas, São José dos Campos - SP, 12245-030",Jardim São Dimas,https://www.almiranterefrigeracao.com.br/,Ar condicionado,N,2025-10-03,Active,N/A,N/A
ACBRAS AR CONDICIONADO,12981054357,"5,0",24,"R. Apeninos, 135 - Jardim Satélite, São José dos Campos - SP, 12230-360",Jardim Satélite,N/A,Ar condicionado,N,2025-10-03,Active,N/A,N/A
Coldvel Automotive Air Conditioning,12974033778,"4,8",789,"R. Valparaíso, 371 - Jardim America, São José dos Campos - SP, 12235-380",Jardim América,https://www.instagram.com/coldvelar/,Ar condicionado auto,N,2025-10-03,Active,N/A,N/A
HG Ar condicionado,12991339311,"5,0",100,"R. Itacarambi, 511 - Jardim Ismenia, São José dos Campos - SP, 12220-700",Jardim Ismenia,https://www.hgarcondicionado.com.br/,Ar condicionado,N,2025-10-03,Active,Y,Y
Gil.M - Ar Condicionado,12988170172,"5,0",33,"R. Adelaíde Oliveira Marcelino, 233 - Jardim Morumbi, São José dos Campos - SP, 12236-770",Jardim Morumbi,http://grcampos5.wixsite.com/gil-m,Ar condicionado,N,2025-10-03,Active,N/A,N/A
Master Climatizadores,12988590498,"5,0",31,"R. Adriano Espíndola, 628 - Jardim Morumbi, São José dos Campos - SP, 12236-720",Jardim Morumbi,https://www.instagram.com/masterclimatizadores?igsh=ZGg0d3Y5ZWZoaWps,Ar condicionado,Y,2025-10-03,Active,N/A,N/A
Installtec Aquecedores,1239136032,"4,0",100,"Av. Cassiano Ricardo, 1952 - Jardim das Industrias, São José dos Campos - SP, 12240-460",Jardim das Indústrias,https://installtec.com.br/,Aquecedores,N,2025-10-03,Active,N/A,N/A
Geraclima Soluções térmicas - Ar - Água - Gás,12981680934,"4,5",10,"Praça Tietê, 85 Fachada Cinza - Vila Sao Bento, São José dos Campos - SP, 12231-562",Vila São Bento,https://geraclima.wixsite.com/geraclima,Ar condicionado,N,2025-10-03,Active,N/A,N/A
