business_name,phone_number,star_rating,total_reviews,address,neighborhood,website,service_type,is_24h,last_updated,status,Identifies as women-owned,LGBTQ+ friendly
Chaveiro & Cia Unidade Tauste,12988200224,"4,6",61,"Av. São João, 2555 - LOJA 01 - Jardim das Colinas, São José dos Campos - SP, 12242-000",Jardim das Colinas,N/A,Chaveiro,N,2025-10-03,Active,N/A,N/A
Chaveiro do Vale,1239217255,"4,3",113,"Av. Heitor Villa Lobos, 1236 - Jardim Santa Madalena, São José dos Campos - SP, 12243-260",Jardim Santa Madalena,http://www.chaveirodovale.com.br/,Chaveiro,Y,2025-10-03,Active,N/A,N/A
Chaveiro Casa da Chave São José,12991765174,"4,6",42,"Av. Eng. Francisco Prestes Maia, 749 - Jardim das Industrias, São José dos Campos - SP, 12240-680",Jardim das Indústrias,https://casadachavesaojose.com.br/,Chaveiro,N,2025-10-03,Active,Y,Y
Chaveiro jardim,12991557090,"5,0",31,"Av. Dr. João Baptista Soares de Queiroz Júnior, 1172 - Jardim das Industrias, São José dos Campos - SP, 12240-000",Jardim das Indústrias,https://chaveirojardimsjc.com/,Chaveiro,N,2025-10-03,Active,N/A,Y
Chaveiro Aquarius Carrefour,12997914660,"5,0",1,"Av. Dep. Benedito Matarazzo, 5701 - Parque Res. Aquarius, São José dos Campos - SP, 12240-420",Aquarius,N/A,Chaveiro,N,2025-10-03,Active,N/A,N/A
Chaveiro Ribeiro 24hrs,12991356827,"4,9",80,"R. Bacabal, 1358 - Parque Industrial, São José dos Campos - SP, 12235-680",Parque Industrial,N/A,Chaveiro,N,2025-10-03,Active,N/A,N/A
CHAVEIRO ASSAI COLINAS ( antigo chaveiro posto Chaparral ),12997432170,"5,0",1,"Assaí Colinas - Av. Dr, Av. Jorge Zarur, 100 - loja 06 piso térreo - Jardim Aquarius, São José dos Campos - SP, 12242-020",Aquarius,N/A,Chaveiro,N,2025-10-03,Active,Y,Y
Chaveiro 4J Atendimento 24 horas SJC,12981685505,"4,9",47,"R. Vilaça, 450B - Centro, São José dos Campos - SP, 12210-000",Centro,http://4jchaveiro.com.br/,Chaveiro,Y,2025-10-03,Active,Y,Y
Chaveiro Vitória 24h,12991196481,"5,0",172,"R. Itabaiana, 1039 - Jardim Petropolis, São José dos Campos - SP, 12237-481",Jardim Petrópolis,https://chaveirovitoria.my.canva.site/,Chaveiro,Y,2025-10-03,Active,N/A,N/A
Chaveiro Elite,1232060333,"4,6",130,"R. Riachuelo, 185 - Jardim Paulista, São José dos Campos - SP, 12216-040",Jardim Paulista,N/A,Chaveiro,N,2025-10-03,Active,N/A,N/A
