business_name,phone_number,star_rating,total_reviews,address,neighborhood,website,service_type,is_24h,last_updated,status,Identifies as women-owned,LGBTQ+ friendly
SOS Eletricista 24 horas Residencial SJC,12988196994,"5,0",280,"R. Dr. Jorge de Oliveira Coutinho, 470 - Jardim Aquarius, São José dos Campos - SP, 12246-060",Aquarius,https://www.facebook.com/profile.php?id=61557010161843&mibextid=ZbWKwL,Eletricista,Y,2025-10-03,Active,N/A,Y
MV Eletricista,12978117007,"4,8",79,"Av. Alfredo Ignácio Nogueira Penido, 255 - Jardim Aquarius, São José dos Campos - SP, 12246-000",Aquarius,https://www.oeletricista.sjc.br/,Eletricista,N,2025-10-03,Active,Y,Y
Torres Manutenção,12988047080,"4,9",157,"Av. Jorge Zarur, 274 - apartamento 113 - Vila Ema, São José dos Campos - SP, 12243-081",Vila Ema,https://www.torresmanutencao.com.br/,Eletricista,Y,2025-10-03,Active,Y,Y
Tom Eletricista,12981294829,"4,9",129,"R. Benedito Osvaldo Lecques, 171 - Aquarius, São José dos Campos - SP, 12246-021",Aquarius,http://tomeletricista.com/,Eletricista,Y,2025-10-03,Active,N/A,Y
JF Eletricista,12982001210,"5,0",89,"Av. Andrômeda, 693 - Jardim Satélite, São José dos Campos - SP, 12230-000",Jd Satélite,N/A,Eletricista,N,2025-10-03,Active,Y,N/A
Rs Eletricista,12988654968,"4,9",106,"Av. Fortaleza, 239 - Parque Industrial, São José dos Campos - SP, 12235-560",Pq Industrial,404,Eletricista,Y,2025-10-03,Active,Y,Y
ELETRICISTA FERREIRA,12982317551,"4,9",124,"R. Aldebaram, n 241 - Jardim Satélite, São José dos Campos - SP, 12230-400",Jd Satélite,N/A,Eletricista,N,2025-10-03,Active,Y,N/A
Eletricista SJC Serviços de instalações em geral 24HS,12981742853,"5,0",12,"Av. da Liberdade, 298 - Jardim Alvorada, São José dos Campos - SP, 12240-550",Jd Alvorada,N/A,Eletricista,Y,2025-10-03,Active,N/A,N/A
Paulo Ribeiro,12988738459,"5,0",33,"Ed. Costa Rica - R. Jurema Viêira Medrado, 88 - Parque Res. Aquarius, São José dos Campos - SP, 12244-392",Aquarius,https://pauloeletricistaencanador.com.br/,Eletricista,N,2025-10-03,Active,N/A,N/A
Ambiente Elétrica,12988084195,"5,0",44,"R. Icatu, 390 - Parque Industrial, São José dos Campos - SP, 12235-649",Pq Industrial,https://www.instagram.com/ambienteeletrica?igsh=MTlyMTE1cmdjZXlpdg==,Eletricista,N,2025-10-03,Active,N/A,N/A
