business_name,phone_number,star_rating,total_reviews,address,neighborhood,website,service_type,is_24h,last_updated,status,Identifies as women-owned,LGBTQ+ friendly
Torres Manutenção,12988047080,"4,9",157,"Av. Jorge Zarur, 274 - apartamento 113 - Vila Ema, São José dos Campos - SP, 12243-081",Vila Ema,https://www.torresmanutencao.com.br/,Encanador,Y,2025-10-03,Active,Y,Y
MV Marido de Aluguel | Faz Tudo SJC,12981830046,"4,7",56,"R. Dr. Orlando Feirabend Filho, 230 - Parque Res. Aquarius, São José dos Campos - SP, 12246-190",Aquarius,https://www.maridodealuguel.sjc.br/,Encanador,N,2025-10-03,Active,N/A,N/A
Suehtam,12981449145,"4,9",132,"Av. Cassiano Ricardo, 601 - sala 163 - Parque Res. Aquarius, São José dos Campos - SP, 12246-870",Aquarius,http://www.suehtam.com.br/,Encanador,N,2025-10-03,Active,Y,N/A
MLT Engenharia,12982325992,"4,8",32,"R. Armando D'Oliveira Cobra, 50 - Parque Res. Aquarius, São José dos Campos - SP, 12246-002",Aquarius,N/A,Encanador,Y,2025-10-03,Active,Y,Y
Júnior pequenos reparos,12988100626,"5,0",48,"R. Padre Rodolfo, 182 - sala 151 - Vila Ema, São José dos Campos - SP, 12243-080",Vila Ema,Instagram,Encanador,N,2025-10-03,Active,N/A,N/A
Ricardo Excelência,12988034568,"4,8",303,"P4W4+93 Res. Bosque dos Ipes, São José dos Campos - State of São Paulo",Bosque Ipês,403 Error,Encanador,N,2025-10-03,Active,Y,Y
Paulo Ribeiro,12988738459,"5,0",33,"Ed. Costa Rica - R. Jurema Viêira Medrado, 88 - Parque Res. Aquarius, São José dos Campos - SP, 12244-392",Aquarius,https://pauloeletricistaencanador.com.br/,Encanador,N,2025-10-03,Active,N/A,N/A
Osíris - Detecta Vazamentos,12991211843,"5,0",70,"R. Vital Brasil, 110 - Jardim Esplanada II, São José dos Campos - SP, 12242-720",Jardim Esplanada II,https://www.detectaosiris.com.br/,Encanador,N,2025-10-03,Active,N/A,N/A
Acqualy Soluções,12981384677,"5,0",225,"Av. Ouro Fino, 133 - Bosque dos Eucaliptos, São José dos Campos - SP, 12233-400",Bosque dos Eucaliptos,https://www.acqualy.com.br/,Encanador,N,2025-10-03,Active,Y,Y
RD,12981619504,"4,9",113,"R. Joana Maria Corrêa Laranjeira, 442 - Jardim Petropolis, São José dos Campos - SP, 12237-410",Jardim Petrópolis,https://rdcacavazamentos.com.br/,Encanador,N,2025-10-03,Active,N/A,N/A
Paulo Marido De Aluguel,12981357854,"4,8",81,"R. Pimenteiras, 648 - Parque Industrial, São José dos Campos - SP, 12235-750",Parque Indusrial,https://www.paulomaridodealuguel.com.br/,Encanador,Y,2025-10-03,Active,N/A,N/A
The Flash Services Pintor Eletricista e Marido de Aluguel SJC,12983100107,"5,0",39,"R. Armando D'Oliveira Cobra, 50 - Sala 304 - Parque Res. Aquarius, São José dos Campos - SP, 12246-002",Aquarius,https://clasp.com.br/the-flash-services-pintura-e-manutencao-em-geral-parque-res.-aquarius-sao-jose-dos-campos-sp/a/OTkwNjg4,Encanador,N,2025-10-03,Active,N/A,N/A
Master,12991288177,"5,0",254,"Av. Pres. Juscelino Kubitschek, 5400 - Monte Castelo, São José dos Campos - SP, 12215-380",Monte Castelo,https://www.masterdetectavazamentos.com/,Encanador,N,2025-10-03,Active,N/A,N/A
A&S Serviços Piscinas,12981102466,"5,0",26,"R. Cel. Silvestre Cândido Ribeiro, 95 - Vila Candida, São José dos Campos - SP, 12213-560",Vila Candida,N/A,Encanador,N,2025-10-03,Active,N/A,N/A
REPAC-MARIDO DE ALUGUEL,12987036472,"4,7",14,"R. Londrina, 925 - Res. Bosque dos Ipes, São José dos Campos - SP, 12236-875",Bosque dos Ipês,None,Encanador,Y,2025-10-03,Active,N/A,N/A
S&S Manutenção e Reformas,12988401998,"4,9",72,N/A,N/A,https://www.encanadorsjc.com.br/,Encanador,N,2025-10-03,Active,N/A,Y
Conserta Express - São José dos Campos,12981132561,"5,0",33,N/A,N/A,https://www.consertaexpress.com.br/unidade/saojosedoscampos,Encanador,Y,2025-10-03,Active,N/A,N/A
ESManutenções - Marido de Aluguel/Serviços Gerais/Pintor.,12988652555,"4,9",88,"R. Santarém, 273 - Parque Industrial, São José dos Campos - SP, 12235-550",Parque Industrial,https://esmanutencaoref.wixsite.com/esmanutencao,Encanador,N,2025-10-03,Active,Y,Y
DS Instalações Hidráulica e Elétrica,12988394138,"5,0",12,"Estr. Municipal Martins Guimarães, 1201 - Vila Tesouro, São José dos Campos - SP, 12221-520",Vila Tesouro,https://ds-instalacoes-hidraulica.localo.site/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,Encanador,,2025-10-03,Active,N/A,N/A
JF Hidraúlica,12982173046,"4,2",10,"Rua dos Guararapes - Monte Castelo, São José dos Campos - SP, 12250-215",Monte Castelo,N/A,Encanador,Y,2025-10-03,Active,N/A,N/A
Cleiton Reformas (Especialista em reformas),12996639169,"5,0",33,"R. Talim, 46 - Jardim Aeroporto, São José dos Campos - SP, 12231-280",Jardim Aeroporto,https://www.cleitonreformas.com.br/,Encanador,N,2025-10-03,Active,Y,N/A
Marido de Aluguel SJC ® (O ORIGINAL),12996757766,"4,9",153,"Praça das Bandeiras - Bosque dos Eucaliptos, São José dos Campos - SP, 12232-020",Bosque dos Eucaliptos,http://www.maridodealuguelsjc.com.br/,Encanador,N,2025-10-03,Active,Y,Y
